	Genome	sample
0	A01_contig_117_pilon 	A01
1	A01_contig-120_11 	A01
2	A01_contig-120_15 	A01
3	A01_contig-120_17 	A01
4	A01_contig-120_19 	A01
5	A01_contig-120_20 	A01
6	A01_contig-120_21 	A01
7	A01_contig-120_249 	A01
8	A01_contig-120_25 	A01
9	A01_contig-120_30 	A01
10	A01_contig-120_33 	A01
12	A01_contig-120_36 	A01
13	A01_contig-120_37 	A01
14	A01_contig-120_40 	A01
15	A01_contig-120_44 	A01
16	A01_contig-120_45 	A01
17	A01_contig-120_48 	A01
18	A01_contig-120_4 	A01
19	A01_contig-120_52 	A01
20	A01_contig-120_55 	A01
21	A01_contig-120_58 	A01
22	A01_contig-120_59 	A01
23	A01_contig-120_62 	A01
24	A01_contig-120_66 	A01
25	A01_contig-120_6 	A01
26	A01_contig-120_70 	A01
27	A01_contig-120_72 	A01
28	A01_contig-120_73 	A01
29	A01_contig-120_76 	A01
30	A01_contig-120_79 	A01
31	A01_contig-120_82 	A01
32	A01_contig-120_86 	A01
33	A01_contig-120_9 	A01
34	A01_contig_136_pilon 	A01
35	A01_contig_154_pilon 	A01
36	A01_contig_180_pilon 	A01
37	A01_contig_187_pilon 	A01
38	A01_contig_212_pilon 	A01
39	A01_contig_227_pilon 	A01
40	A01_contig_230_pilon 	A01
41	A01_contig_236_pilon 	A01
42	A01_contig_252_pilon 	A01
43	A01_contig_272_pilon 	A01
44	A01_contig_273_pilon 	A01
45	A01_contig_275_pilon 	A01
46	A01_contig_277_pilon 	A01
47	A01_contig_279_pilon 	A01
48	A01_contig_280_pilon 	A01
49	A01_contig_282_pilon 	A01
50	A01_contig_283_pilon 	A01
51	A01_contig_284_pilon 	A01
52	A01_contig_285_pilon 	A01
53	A01_contig_287_pilon 	A01
54	A01_contig_289_pilon 	A01
55	A01_contig_291_pilon 	A01
56	A01_contig_293_pilon 	A01
57	A01_contig_294_pilon 	A01
58	A01_contig_296_pilon 	A01
59	A01_contig_297_pilon 	A01
60	A01_contig_298_pilon 	A01
61	A01_contig_304_pilon 	A01
62	A01_contig_307_pilon 	A01
63	A01_contig_309_pilon 	A01
64	A01_contig_312_pilon 	A01
65	A01_contig_313_pilon 	A01
66	A01_contig_314_pilon 	A01
67	A01_contig_315_pilon 	A01
68	A01_contig_317_pilon 	A01
69	A01_contig_319_pilon 	A01
70	A01_contig_321_pilon 	A01
71	A01_contig_322_pilon 	A01
72	A01_contig_46_pilon 	A01
73	A01_contig_49_pilon 	A01
74	A01_contig_54_pilon 	A01
75	A01_contig_57_pilon 	A01
76	A01_contig_89_pilon 	A01
77	A01_contig_93_pilon 	A01
78	A01_contig_96_pilon 	A01
79	A01_NODE_12 	A01
80	A01_NODE_13 	A01
81	A01_NODE_14 	A01
82	A01_NODE_21 	A01
83	A01_NODE_23 	A01
84	A01_NODE_24 	A01
85	A01_NODE_25 	A01
86	A01_NODE_2 	A01
87	A01_NODE_30 	A01
88	A01_NODE_36 	A01
89	A01_NODE_37 	A01
90	A01_NODE_396 	A01
91	A01_NODE_39 	A01
92	A01_NODE_43 	A01
93	A01_NODE_44 	A01
95	A01_NODE_46 	A01
96	A01_NODE_47 	A01
97	A01_NODE_48 	A01
98	A01_NODE_4 	A01
99	A01_NODE_50 	A01
100	A01_NODE_51 	A01
101	A01_NODE_52 	A01
102	A01_NODE_58 	A01
103	A01_NODE_59 	A01
104	A01_NODE_5 	A01
105	A01_NODE_61 	A01
106	A01_NODE_62 	A01
107	A01_NODE_63 	A01
108	A01_NODE_65 	A01
109	A01_NODE_69 	A01
110	A01_NODE_6 	A01
111	A01_NODE_70 	A01
112	A01_NODE_77 	A01
113	A01_NODE_79 	A01
114	A01_NODE_89 	A01
115	A01_NODE_8 	A01
116	A01_NODE_92 	A01
117	A01_opera_contig_120 	A01
118	A01_opera_contig_14 	A01
119	A01_opera_contig_18 	A01
120	A01_opera_contig_1 	A01
121	A01_opera_contig_26 	A01
122	A01_opera_contig_27 	A01
123	A01_opera_contig_28 	A01
124	A01_opera_contig_29 	A01
125	A01_opera_contig_30 	A01
126	A01_opera_contig_35 	A01
127	A01_opera_contig_39 	A01
128	A01_opera_contig_40 	A01
129	A01_opera_contig_41 	A01
131	A01_opera_contig_48 	A01
132	A01_opera_contig_56 	A01
133	A01_opera_contig_57 	A01
134	A01_opera_contig_59 	A01
135	A01_opera_contig_6 	A01
136	A01_opera_contig_71 	A01
137	A01_opera_contig_87 	A01
141	A04_contig-120_15 	A01
143	A04_contig-120_19 	A01
172	A08_contig-120_11 	A01
177	A08_contig-120_33 	A01
197	A08_contig_5_pilon 	A01
199	A08_NODE_16 	A01
203	A08_NODE_29 	A01
207	A08_NODE_3 	A01
212	A08_NODE_47 	A01
217	A08_NODE_7 	A01
223	A09_contig-120_26 	A01
234	A09_contig-120_57 	A01
238	A09_contig-120_71 	A01
240	A09_contig_13_pilon 	A01
241	A09_contig_180_pilon 	A01
242	A09_contig_234_pilon 	A01
244	A09_contig_246_pilon 	A01
246	A09_contig_266_pilon 	A01
255	A09_contig_411_pilon 	A01
260	A09_contig_498_pilon 	A01
261	A09_contig_528_pilon 	A01
262	A09_contig_544_pilon 	A01
266	A09_contig_658_pilon 	A01
276	A09_contig_685_pilon 	A01
278	A09_contig_689_pilon 	A01
294	A09_NODE_53 	A01
307	A09_NODE_76 	A01
309	A09_NODE_78 	A01
310	A09_NODE_7 	A01
313	A09_NODE_8 	A01
322	A107_contig-120_20 	A01
337	A107_NODE_11 	A01
345	A107_NODE_20 	A01
347	A107_NODE_22 	A01
352	A107_NODE_3 	A01
353	A107_NODE_40 	A01
368	A107_opera_contig_22 	A01
376	A11_contig-120_18 	A01
430	A11_contig_53_pilon 	A01
431	A11_contig_66_pilon 	A01
446	A11_NODE_22 	A01
449	A11_NODE_2 	A01
450	A11_NODE_30 	A01
469	A11_NODE_85 	A01
476	A12_contig-120_179 	A01
479	A12_contig-120_31 	A01
486	A13_contig_119_pilon 	A01
487	A13_contig-120_15 	A01
488	A13_contig-120_17 	A01
503	A13_contig_148_pilon 	A01
510	A13_contig_215_pilon 	A01
512	A13_contig_219_pilon 	A01
527	A13_contig_95_pilon 	A01
