	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A01_contig-120_4	2.4283768608294647							0.6206826906750509	0.1052302911896914																			0.2447691387403024										0.0801639796869162																	0.4834223526244228																						0.0116968857016089														
A01_contig-120_6	0.0	0.0				0.0		0.0													0.0	0.0									0.0			0.0	0.0		0.0	0.0													0.0				0.0078531381404628		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0331877164782702	0.0	0.0003414272215792	0.0			0.0	0.0			0.0	0.0		0.0							0.0		
A01_contig-120_9	0.0	0.0						0.0	0.0	0.0		0.4110108553561478		0.0			0.0	0.0			0.0					0.0				0.0		0.0				0.0	0.0									0.0	0.0										0.0			0.0	0.0				0.0		0.0		0.0	0.0	0.0007301904092853		0.0								0.0					0.0	0.0003233301647534				
A01_contig-120_11	0.0006335990876892	0.0			0.0			0.0		0.0										0.0				0.0			0.0			0.0		0.0						0.0006928501634585						0.0								0.0					0.0			0.0	0.0		0.0						0.0								0.0						0.0			0.001333749576505					0.0
A01_contig-120_15	3.850576778308735							0.3197246561743195					0.1161114261396857				0.0818038297216805													0.1519024665810071								0.1268377988175715		0.0827397784856382					0.4026221444948939	1.859265509259849	1.9794215729843303									0.0924543931564131		0.0793258466971487													4.213248671409466		0.2782563722520808								1.7696561989468078			0.4168107527047364							
A01_contig-120_17	0.0425918787576342							0.0044058502297505																				0.0																																																															
A01_contig-120_19	0.0							0.0																																																																																	0.0		
A01_contig-120_20	0.0							0.0																																																																																	0.0		
A01_contig-120_21	0.4110189360305018		0.0			0.0		0.0539807115294395						0.0			0.0																																																																	0.0044355012179379		0.0008642285534437	0.0						
A01_contig-120_25	0.0502658896065682					0.0		0.0029194512635351		0.0019810141920031							0.0																																0.0											0.0059207529611165									0.0				0.0							0.0		0.0									
A01_contig-120_30	42.028800205848775	0.5570818394008744	0.2087878865150647	5.409860776798428		0.078897393575502	0.4910146172359555	5.08238330954433	1.70851272274588		0.0745170488735754		1.2569040539855336	0.0220889814341318			0.28686245809471	0.0793208424196024		0.027197805784807				0.0202540178316884			0.3589965294482855			0.2990238081651614			0.4662812030927314	0.3620587400377228	0.6808105417302909			0.2004731343625063	1.2688763757548474	0.8248513727337713				0.2301174126173319	0.1926879732689853	0.7023772509289142	0.7780022333860971			0.3414551429816144				0.4206103981101172	1.8011989944161764		0.092230625537257		0.3130872117148192	1.7860185653654868	0.4679988642582049			0.084964589669233	0.0398855488237576				0.5696331860484821		3.3924451622672707									0.0899579082558951		0.0633419412592015		0.3972505651301569		0.0743318259775487		0.4936025894712791	3.719819437626325		2.830359721731802
A01_contig-120_33	6.276174877872973					1.6551989653613248		0.8061447806341223	0.958048877858033																									0.0010733705853382											0.0023139597251533					0.0											0.1703037645178765	0.0032603806177497	0.0	0.0093141230136196							0.8930210502325293		0.2390435603647856	0.0			0.1607593107664559					0.0042193051452223		0.0087348566502741					0.007653527524574	0.0271779745793518	
A01_contig-120_34	0.0			0.0		0.0		0.0																		0.0		0.0											0.0									0.0												0.0	0.0									0.0		0.0	0.0		0.0												0.0				
A01_contig-120_36	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0			0.0			0.0			0.0						0.0					0.0	0.0		0.0											0.0	0.0	0.0	0.0			0.0151006309940615	0.0					0.0		0.0	0.0005800993413345				0.0			0.002781564333728		0.0											0.0						0.0		0.0		0.0	
A01_contig-120_37	0.0		0.0				0.0	0.0						0.0			0.0												0.0							0.0																								0.0				0.0																											
A01_contig-120_40	0.0033485675042524							0.0																																																																																			
A01_contig-120_44	0.0090444960087146							0.0023857640176912				0.0																		0.0																						0.0								0.0												0.0162324915433744																			
A01_contig-120_45	0.1011007673162623							0.0048765142108429																																																																																			
A01_contig-120_48	1.3698075947300616							0.1978854906326361		0.3454647755104164		0.0318313376944492														0.02773067461209								0.1093591149854031																									0.4488903164005047																											3.050908452950256					
A01_contig-120_52	0.0							0.0																			0.0							0.0			0.0013247751444319																						0.0					0.0										0.0																0.0	
A01_contig-120_55	1.8217818940481287				0.0			0.9400413494265007																						0.0029069886532143	0.0													0.0																																								0.0012630881190573		0.8543531358595131			18.126921682206586		
A01_contig-120_58	0.0							0.0																																																															0.0	0.0077193445775752																	0.0		
A01_contig-120_59	0.0422380229800091							0.002089045826331																																																	0.0006876310555235										0.0237004834224234																								
A01_contig-120_62	0.0443725005730209							0.0070937041569575																																																																																			
A01_contig-120_66	0.0376040785235284							0.0058780636187972																																																																																			
A01_contig-120_70	0.2935009550891201		0.0070023021838611	0.0			0.0596699156016843	0.0755498585584714																							0.0								0.0348532862505164											0.0147404542592024					0.0							0.0044834852120273																						0.0					0.0		
A01_contig-120_72	139.1277926987189							16.598255880111413																										19.99328053210428																									0.0154984424003071	0.0577625129126074														0.0623171858293987															0.8007349876999824		
A01_contig-120_73	0.0682748397547342							0.0015007990849124																				0.0015094397041955																																			0.0																							0.0					
A01_contig-120_76	0.0985599977432317	0.0	0.0	0.0		0.1420446297119753		0.066798374451057	0.0		0.0		0.0					0.0		0.0			0.0				0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0		0.0		0.0		0.0	0.0		0.0	0.0		0.0		0.0		0.0143322405131225		0.0	0.0034431002178282	0.0	0.0	0.0					0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.7340093200734978	0.0	
A01_contig-120_79	0.0				0.0			0.0													0.0													0.0			0.0									0.0	0.0												0.0																									0.0							
A01_contig-120_82	0.0015053076322029			0.0				0.0015882847561679	0.0																																																							0.0												0.0			0.0										0.0015962361334994		
A01_contig-120_86	0.5160391157229571			0.3933707231314581				0.1132595412373797																												0.0091786282115829																																																							
