"Viral_contig"	"pvalue"	"R2"	"fdr"
"1"	"NC173_NODE_1"	0.941	-0.0856512804474555	0.997
"2"	"H46_NODE_2"	0.823	-0.034226306438778	0.997
"3"	"H13_NODE_1"	0.111	0.0620447862788221	0.95973417721519
"4"	"H13_NODE_2"	0.451	0.003029119718691	0.997
"5"	"H46_NODE_6"	0.662	-0.0210178735834226	0.997
"6"	"H63_contig_22_pilon"	0.741	-0.0406849574232386	0.997
"7"	"H13_NODE_3"	0.501	-0.00206536571514771	0.997
"8"	"H22_NODE_2"	0.33	0.0276586725395006	0.997
"9"	"H46_NODE_9"	0.246	0.035631265888322	0.997
"10"	"A09_contig_246_pilon"	0.988	-0.14783041545158	0.997
"11"	"H22_NODE_4"	0.429	0.00876113634919951	0.997
"12"	"H34_NODE_1"	0.093	0.130877762561292	0.95973417721519
"13"	"SK12_NODE_2"	0.113	0.0701346433934318	0.95973417721519
"14"	"SK12_NODE_3"	0.867	-0.0732170606389099	0.997
"15"	"DC23_contig-120_0"	0.719	-0.0478471237010416	0.997
"16"	"H13_contig-120_3"	0.801	-0.0567374381513505	0.997
"17"	"SK12_NODE_4"	0.063	0.103348570656987	0.95973417721519
"18"	"H34_contig-120_2"	0.108	0.111359316461114	0.95973417721519
"19"	"H13_contig-120_6"	0.531	-0.0069191600715131	0.997
"20"	"H13_NODE_11"	0.601	-0.0185767083134225	0.997
"21"	"H13_NODE_13"	0.663	-0.0274690329077199	0.997
"22"	"DC16_contig_146_pilon"	0.829	-0.0769414160964685	0.997
"23"	"H63_contig_5_pilon"	0.319	0.0312269229111147	0.997
"24"	"H13_NODE_17"	0.346	0.026731286104896	0.997
"25"	"SK05_contig-120_1"	0.19	0.0461096186964146	0.95973417721519
"26"	"SK03_contig_182_pilon"	0.339	0.0203469939056023	0.997
"27"	"A09_contig_13_pilon"	0.845	-0.0492424767848177	0.997
"28"	"H34_contig_111_pilon"	0.746	-0.0639855406592204	0.997
"29"	"H63_contig_25_pilon"	0.573	-0.0121498450468414	0.997
"30"	"H32_contig_4_pilon"	0.571	-0.00731916305658572	0.997
"31"	"A09_contig_180_pilon"	0.853	-0.0467981546675714	0.997
"32"	"A09_NODE_7"	0.936	-0.0610848803889409	0.997
"33"	"A09_NODE_8"	0.987	-0.117528643252843	0.997
"34"	"SK44_contig_225_pilon"	0.941	-0.105493172667291	0.997
"35"	"H34_contig_121_pilon"	0.255	0.0327091642789095	0.997
