taxonomy,A01,A02,A04,A06,A08,A09,A107,A11,A12,A13,A15,A16,A17,A18,B03,B04,B13,B14,DC05,DC09,DC13,DC15,DC16,DC17,DC22,DC23,DC25,DC26,DC27,DC28,H01,H02,H03,H04,H09,H11,H13,H15,H16,H19,H22,H24,H25,H27,H28,H29,H30,H31,H32,H34,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H54,H55,H56,H6,H60,H62,H63,H65,H69,H7,H73,NC150,NC151,NC152,NC159,NC173,NC178,NC183,NC185,NC199,NC201,NC304,NC308,NC312,NC317,NC318,NC323,NC326,NC370,NCF004,NCF005,NCF006,NCF007,NCF008,NCF009,NCF021,NCF024,NCF026,NCF031,NCF033,NCF041,NCF043,NCF044,NCF051,NCF055,NCF058,NCF060,NCF068,NCF092,NCF093,NCF098,NCF106,NCF154,NCF168,NCF171,NCF196,NN0897,QM01,QM02,QM03,QM04,QM07,QM08,S02,S05,S06,S08,S11,S19,SK02,SK03,SK05,SK06,SK07,SK08,SK09,SK10,SK12,SK14,SK19,SK20,SK22,SK23,SK27,SK41,SK42,SK43,SK44,SK47,SK51,SK54,SK55,SK56,SML01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,33.53685,0.0,0.00873,0.00211,0.0,0.04199,0.00135,0.00276,0.0,0.0,50.7447,0.0,0.0,0.0,0.00065,0.00514,40.07935,0.17753,0.00022,0.00059,19.62399,0.0,0.0,0.00287,0.0,0.0,0.0,0.0,0.35035,0.01567,0.0,0.0,0.01071,2.43589,53.95103,0.00162,0.00043,0.0,0.01689,26.80711,0.0,0.00488,38.48409,42.11078,3.44395,0.00429,0.03451,49.56821,0.0,53.89895,0.0,0.00202,32.77575,0.0,0.00128,0.00126,0.01596,32.02411,47.79398,28.66314,0.00799,12.71915,0.0,0.0,0.00391,0.00231,0.01317,2.57896,0.0,0.0017,0.01997,21.35,47.54349,0.0,33.70464,0.00485,0.00305,0.0,0.00346,0.00078,0.0,0.0,0.00191,0.0,59.38183,0.00155,0.02567,8.75101,0.0,0.00019,0.0,0.00093,0.0,0.02259,45.87115,0.0,45.35708,0.0,51.20326,0.05824,0.01934,41.6864,0.0,42.69813,7.35267,0.00019,0.0,0.00103,0.02744,40.05091,7.87511,0.00552,0.0,32.8466,0.1528,0.0,62.30741,0.0005,9.98845,32.24958,62.01912,0.52462,0.00811,0.00198,45.4368,36.52601,0.01134,0.0,0.0,0.01016,0.0,0.0,0.0,0.00621,25.94881,0.0006,0.0044,73.20689,0.0,0.00217,0.0,4.82099,0.0,0.10007,2.52165,0.0,0.0,0.0,21.7549,0.0,0.0,0.0,0.0055,0.00194,0.0011
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,11.5135,1.29848,0.43582,0.00374,12.60057,17.27986,5.64004,0.00047,0.97158,7.4964,0.00402,21.75604,0.00249,0.00096,13.4456,0.61643,18.59154,11.15931,13.376,5.51503,5.9218,17.707,12.68811,1.73797,14.06741,22.56033,0.0,10.61144,14.00551,14.16302,1.29366,0.0,1.76244,1.33855,7.8507,13.68882,1.40193,0.00098,0.00585,14.77796,7.51158,1.02782,2.84055,4.32685,30.12124,0.00017,0.0135,2.91915,9.80673,10.87867,7.13174,6.62452,0.81132,0.0,0.00019,0.00886,3.76992,13.27157,0.0,10.84898,5.21494,16.49304,1.86581,0.0,3.566,0.00604,14.76112,33.63918,0.82427,12.4946,5.7348,7.10716,2.00608,0.0,0.87321,0.10695,15.36603,8.9869,2.61852,0.35822,9.89412,2.33076,6.47477,0.0,5.27493,6.87507,0.12726,0.0243,4.06222,0.00579,0.02947,0.12728,2.2858,5.86688,18.70795,13.38496,3.29132,0.57898,0.14163,0.01957,0.00201,17.67576,0.00103,4.22874,7.65026,8.1185,6.3232,6.30538,1.09157,3.6496,1.53958,0.25754,5.50111,0.0,10.06044,5.92653,0.00415,1.31783,2.98948,4.48431,0.33833,6.38221,0.0,5.03124,4.18261,9.60295,3.42601,0.01042,4.90817,8.75491,0.0,0.0,0.0,0.00227,0.0114,5.80689,10.11346,0.65545,0.00081,10.9092,1.2803,44.55193,3.12355,0.76412,11.76533,0.0,0.00052,0.00253,0.00036,21.62136,6.89184,12.08251,0.04548,0.00236,12.06589
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,7.87857,0.73138,0.0,0.0,7.34303,2.94418,2.12347,0.0,1.97548,0.0,4.32709,0.0,0.0,0.0,11.67665,0.0,0.39765,0.0,0.0,1.03457,0.52105,0.32383,0.29619,0.25349,1.54278,0.0,0.0,0.00835,0.00481,0.204,0.00919,0.0,8.78258,0.00342,0.08453,0.1053,1.14133,0.0,0.0,0.41722,1.92678,4.24078,1.97647,0.16244,2.43937,0.18771,0.00665,1.73573,0.0,1.17805,0.0,0.70429,0.04313,3.66212,0.0,4.60997,0.0,3.54087,0.04527,1.01665,6.42028,0.23257,0.0,0.0,0.43693,0.0,0.0,0.06279,2.78146,0.4694,0.0,0.0,0.0419,0.74664,0.74523,0.0,0.43928,0.698,0.23419,0.89022,7.11677,0.93587,0.03245,1.28375,0.13527,0.37101,0.0,0.05198,0.11438,6.58303,0.00044,0.47289,2.39339,4.83609,0.0,0.13913,0.0,0.12422,1.11457,0.05638,1.70639,0.0,0.18061,0.05784,1.74973,3.27467,1.14922,1.2183,14.05976,3.16085,0.01521,1.72044,1.00766,6.26898,3.55965,1.3782,0.25952,2.45033,0.69964,0.00496,0.36409,0.0,0.0,2.70183,0.44599,0.61924,0.05593,0.0,9.82037,18.9873,6.43062,0.0,0.0,0.0,1.3139,1.85631,0.42034,3.05548,2.44916,0.00408,0.03513,0.23991,0.0,2.64365,0.1005,0.0,0.13221,0.0,1.27353,0.0,1.19566,0.15096,0.0,0.0,0.29966
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus,4.10237,0.0,0.0,0.0,0.0,7.33167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644,0.0,0.0,0.0,0.0,4.50263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09969,0.0,0.0,0.0,0.0,0.0,0.16907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24582,0.0,0.0,0.0,0.0,0.0,1.7649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414,0.0,0.0,0.0,8.49729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,4.07893,0.36826,7.44215,0.01467,0.66368,0.64751,5.87401,1.58026,3.10927,0.59514,0.1087,7.03601,0.26806,0.17247,3.17493,0.04418,1.66976,0.90293,2.89399,2.22915,0.98019,0.0426,0.5075,1.32584,0.80011,2.96011,0.08096,0.25887,0.09748,0.63045,0.50224,0.0,0.50826,9.73074,0.18897,0.54559,0.17676,1.57422,0.01974,1.07316,0.67588,2.80648,5.99017,3.82487,0.79814,0.01968,0.097,1.98505,0.06401,1.2501,0.0,0.77318,1.8032,0.04348,0.00987,11.3722,1.36514,1.47556,0.1849,0.6216,1.04557,2.9607,0.04041,0.01755,0.68903,0.00301,2.50758,1.87386,0.34181,0.09866,0.37652,0.82935,1.06653,11.14381,0.4788,0.69739,1.33117,0.11477,0.63481,3.54314,1.64147,5.12468,0.56183,0.00945,0.82212,0.73918,0.26263,7.40096,0.80309,0.35077,4.6903,3.68013,9.00951,1.47162,0.09755,1.46603,3.66641,0.20809,3.73613,4.03699,11.08377,0.04638,6.90235,2.15627,3.2157,0.95667,2.23893,5.16961,0.38663,9.68012,0.37632,0.19083,0.23082,10.58537,0.26858,1.47959,0.17776,0.96867,0.81829,1.94323,0.48642,3.08855,0.0,1.14818,0.31914,2.05104,0.37459,0.30355,0.42313,0.41076,0.75051,0.0,0.01754,0.06397,0.89644,1.8862,0.05648,0.20134,0.35586,3.33392,0.78165,2.8202,0.61294,0.15283,2.58911,0.6883,0.03547,0.55244,0.98711,0.02318,5.2143,1.30553,2.07708,1.29354,0.02927
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,3.49351,7.88817,0.0,0.00053,0.0,4.99053,6.88982,10.2128,0.0,10.55279,5.7186,0.00018,0.0,0.0,0.00823,0.00039,0.27962,12.46032,33.73264,0.0,0.0,0.0,0.00022,17.17457,0.0,26.01764,0.0,0.00271,0.00056,0.0,12.47352,0.0,0.0,0.0,7.81743,0.0,0.0,0.0,0.0,1.27394,17.92939,0.0,4.2763,0.47895,0.6707,0.0,0.00376,2.03137,1.16601,1.45704,0.0,0.00055,3.03405,16.71568,4.45212,0.0,0.0,0.0,0.52995,0.00488,17.08006,1.33463,0.0,0.0,0.0,12.92923,0.00035,0.0,0.0,31.15015,0.0,8.87051,2.2993,0.0,4.78517,0.0,0.0,0.0,5.59665,0.0,0.00116,0.0,0.00043,0.0,0.02325,4.62553,7.58639,1.17277,0.0,0.0013,0.04187,4.4193,9.37915,0.00148,5.07737,0.0,0.0,2.96703,1.51485,0.0074,0.00492,4.72216,5.01502,1.26238,0.74641,13.58664,8.63213,7.74654,0.0016,0.0,2.18263,0.0,0.00022,0.0,14.07182,0.0,0.0,21.25971,4.50203,0.00645,0.0,0.85901,0.0,12.01167,0.00279,0.43646,0.00078,0.00243,0.0,0.0,0.0,0.0,0.0,0.00065,0.14387,0.0,0.00838,0.27653,0.0,20.50166,10.87339,0.08667,31.44368,6.91656,0.59794,0.0,0.0,0.0,0.14115,0.0,18.48478,8.66603,0.56456,0.00441,0.00065
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,3.4914,3.31016,0.0,0.0,0.43378,3.70614,0.0,2.50166,0.01185,3.75528,0.0,0.0,0.01012,0.0,5.4268,0.0,0.76084,0.02983,0.16866,2.67596,6.73421,8.71088,3.02998,0.0,4.41347,0.41205,0.0,0.01275,4.48678,0.0,3.61329,0.04667,2.50327,2.61487,0.0,1.05162,0.0,0.00224,0.00194,7.25354,4.18183,0.00321,2.83721,1.08537,3.57391,0.0,0.00164,3.25118,0.0,1.63428,0.0,16.27653,2.41907,0.16412,0.0,0.0,0.0,5.39898,0.90379,6.15197,1.69542,4.95904,0.0,1.57839,0.04573,0.0,2.84131,0.02215,6.37467,1.36861,0.28548,3.52939,0.5198,0.0,6.75959,0.0,0.0,0.0,9.63779,6.56793,0.0,0.0,5.68209,0.0,0.11175,5.0389,2.41842,12.77003,10.2965,1.75735,5.64609,0.61715,11.95638,0.68123,3.56814,3.48031,0.09468,0.09827,3.2157,0.00023,6.12071,2.74834,8.64587,0.06787,1.76801,12.86417,2.56227,2.38858,0.0,0.11506,11.64862,0.01891,0.0,0.13086,1.09227,3.29929,0.0,10.10339,7.73646,2.9456,2.25701,5.43241,7.78632,0.00859,0.04964,0.08934,0.00479,3.34057,3.74216,4.1758,3.47521,0.0,0.0,2.26098,4.38441,5.68255,1.73865,0.69406,6.31963,0.01381,3.50235,1.37408,0.0,1.50468,0.20356,0.0,0.0,13.30689,4.37308,0.0,3.31421,3.82937,8.95393,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,3.3813,2.42193,8.58682,0.4265,7.30645,10.20175,8.3649,4.77245,5.26103,4.86552,4.99152,4.01716,3.74311,0.0,4.08953,1.53662,1.96463,10.22202,3.17967,7.11944,4.32117,3.58281,18.6989,5.46954,3.65395,4.86123,2.00303,9.53595,9.73286,4.92684,10.58181,0.18556,9.8111,36.99527,2.84206,2.64642,3.59447,1.24319,4.32777,3.93441,8.25819,8.79077,3.61214,2.97961,7.34906,0.0029,13.30817,1.93581,1.74824,3.16274,8.40674,3.31712,4.71977,16.99562,1.40126,10.63098,1.65891,4.76814,3.48622,9.10154,12.54619,3.25993,2.71104,0.42306,2.41508,0.00294,5.82625,6.88882,5.37469,4.70103,9.86116,1.62323,4.10628,15.11981,4.30886,2.47216,4.49229,3.36716,8.03526,3.77899,7.27226,4.0854,6.29732,13.91678,3.21961,3.81637,4.36712,5.17655,7.82031,2.32383,7.15326,8.45387,7.09577,12.57842,4.69292,4.28075,4.23985,3.98119,4.54669,6.46897,4.32796,5.39281,4.71328,2.37592,6.58784,8.37962,3.59009,7.94755,8.22526,3.81751,2.09812,3.11498,5.14886,7.56102,5.24236,5.61875,1.68686,8.78825,6.47071,6.74009,4.71275,0.49818,3.79811,2.96182,5.83389,4.34019,21.37575,7.79397,5.73966,10.51978,3.14169,1.44721,1.34239,9.59912,7.35456,3.16903,2.20765,1.22503,8.84282,8.11169,4.23598,6.05658,2.95751,6.1822,3.99594,7.71135,0.66851,1.07416,11.43683,0.27821,5.00571,6.28814,3.35406,1.18619,1.94606
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,3.10445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47117,0.0,0.0,0.0,2.50204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02362,0.0,0.0,0.0,0.0,0.0,0.15657,0.0,0.0,0.0,0.0,0.25238,0.0,0.0,0.0,0.32806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39822,0.0,0.0,0.0,0.0,0.0,0.16234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03232,0.0,0.0,1.34541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71987,0.0,2.01338,2.36189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46409,0.0,0.0,0.64369,0.0,0.0,0.0,2.2947,0.0,0.0,0.0,0.0,0.0,1.37514,0.00411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75241,0.0,3.59063,1.21305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23625,0.0,0.0,0.38415,0.0,0.0,0.0,0.0,0.12382,0.0,2.2398,0.0,0.0,0.0,0.96347,0.0,1.45425,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,2.65858,0.0,0.17099,0.0,0.0,1.58805,3.45503,2.11073,0.00421,0.00674,5.07468,0.0,0.0,2.33535,0.0,0.0,3.42535,0.38849,0.61308,2.45003,1.33799,0.28861,0.0,0.0,5.01279,0.6301,0.00253,4.90908,0.09776,0.01176,0.14989,0.0,0.0,0.75599,0.73114,0.11001,5.6969,0.0,47.55271,0.0,0.96985,12.79031,0.09536,0.37515,0.00379,1.11947,0.00266,0.5993,3.14742,0.14771,0.0,1.30407,0.0018,8.03501,0.0,2.19226,2.77581,0.63779,0.0,0.76167,1.1945,0.0,12.78966,12.94668,1.41813,5.33082,1.22525,2.93427,0.00508,0.0,0.0,0.43419,0.23289,0.01141,0.88354,0.0,6.84407,0.00096,0.56541,0.0,0.0,1.52344,0.06588,1.2909,1.42788,5.69789,0.33233,0.97359,0.0,35.83176,0.00275,1.57644,0.42772,0.29062,0.75803,0.84495,0.0,0.0,0.0,23.50388,1.31121,3.83435,0.05943,0.2558,0.68686,1.88512,1.62603,2.35448,0.0,0.01451,0.07004,0.0,0.02123,0.1176,0.0024,1.35706,0.02412,0.27867,0.05735,1.00497,0.05456,0.0,0.2834,6.15436,0.30343,1.1147,5.85653,11.67471,0.0,0.0,0.0,0.0,0.0,0.0,0.23232,0.01054,3.70409,0.02228,3.7248,1.29113,0.32321,3.17527,0.0,0.00159,0.47978,0.0,0.00048,0.0,0.24616,0.0,0.00641,0.27462,0.0,0.00526,2.55708
