,SV_number,sample,Viral_contig,Genome_len,SV_density,lifestyle
A01,12,A01,NC173_NODE_1,1026780.0,11.6870215625548,uncertain temperate
A02,13,A02,NC173_NODE_1,1026780.0,12.660940026101,uncertain temperate
A09,17,A09,NC173_NODE_1,1026780.0,16.5566138802859,uncertain temperate
A107,21,A107,NC173_NODE_1,1026780.0,20.4522877344709,uncertain temperate
A11,7,A11,NC173_NODE_1,1026780.0,6.81742924482362,uncertain temperate
A13,6,A13,NC173_NODE_1,1026780.0,5.84351078127739,uncertain temperate
A16,3,A16,NC173_NODE_1,1026780.0,2.9217553906387,uncertain temperate
B03,4,B03,NC173_NODE_1,1026780.0,3.89567385418493,uncertain temperate
B13,3,B13,NC173_NODE_1,1026780.0,2.9217553906387,uncertain temperate
DC05,2,DC05,NC173_NODE_1,1026780.0,1.94783692709246,uncertain temperate
DC13,8,DC13,NC173_NODE_1,1026780.0,7.79134770836986,uncertain temperate
DC16,19,DC16,NC173_NODE_1,1026780.0,18.5044508073784,uncertain temperate
DC26,20,DC26,NC173_NODE_1,1026780.0,19.4783692709246,uncertain temperate
DC27,4,DC27,NC173_NODE_1,1026780.0,3.89567385418493,uncertain temperate
H01,13,H01,NC173_NODE_1,1026780.0,12.660940026101,uncertain temperate
H03,6,H03,NC173_NODE_1,1026780.0,5.84351078127739,uncertain temperate
H11,12,H11,NC173_NODE_1,1026780.0,11.6870215625548,uncertain temperate
H13,6,H13,NC173_NODE_1,1026780.0,5.84351078127739,uncertain temperate
H22,21,H22,NC173_NODE_1,1026780.0,20.4522877344709,uncertain temperate
H27,11,H27,NC173_NODE_1,1026780.0,10.7131030990086,uncertain temperate
H32,24,H32,NC173_NODE_1,1026780.0,23.3740431251096,uncertain temperate
H34,18,H34,NC173_NODE_1,1026780.0,17.5305323438322,uncertain temperate
H46,27,H46,NC173_NODE_1,1026780.0,26.2957985157483,uncertain temperate
H49,18,H49,NC173_NODE_1,1026780.0,17.5305323438322,uncertain temperate
H50,1,H50,NC173_NODE_1,1026780.0,0.973918463546232,uncertain temperate
H54,21,H54,NC173_NODE_1,1026780.0,20.4522877344709,uncertain temperate
H69,21,H69,NC173_NODE_1,1026780.0,20.4522877344709,uncertain temperate
H73,1,H73,NC173_NODE_1,1026780.0,0.973918463546232,uncertain temperate
NC150,12,NC150,NC173_NODE_1,1026780.0,11.6870215625548,uncertain temperate
NC151,14,NC151,NC173_NODE_1,1026780.0,13.6348584896472,uncertain temperate
NC152,13,NC152,NC173_NODE_1,1026780.0,12.660940026101,uncertain temperate
NC173,1,NC173,NC173_NODE_1,1026780.0,0.973918463546232,uncertain temperate
NC183,7,NC183,NC173_NODE_1,1026780.0,6.81742924482362,uncertain temperate
NC201,1,NC201,NC173_NODE_1,1026780.0,0.973918463546232,uncertain temperate
NC210,13,NC210,NC173_NODE_1,1026780.0,12.660940026101,uncertain temperate
NC307,32,NC307,NC173_NODE_1,1026780.0,31.1653908334794,uncertain temperate
NC308,3,NC308,NC173_NODE_1,1026780.0,2.9217553906387,uncertain temperate
NC317,9,NC317,NC173_NODE_1,1026780.0,8.76526617191609,uncertain temperate
NC318,3,NC318,NC173_NODE_1,1026780.0,2.9217553906387,uncertain temperate
NCF004,13,NCF004,NC173_NODE_1,1026780.0,12.660940026101,uncertain temperate
NCF026,18,NCF026,NC173_NODE_1,1026780.0,17.5305323438322,uncertain temperate
NCF041,12,NCF041,NC173_NODE_1,1026780.0,11.6870215625548,uncertain temperate
NCF044,4,NCF044,NC173_NODE_1,1026780.0,3.89567385418493,uncertain temperate
NCF051,1,NCF051,NC173_NODE_1,1026780.0,0.973918463546232,uncertain temperate
NCF055,7,NCF055,NC173_NODE_1,1026780.0,6.81742924482362,uncertain temperate
NN0897,2,NN0897,NC173_NODE_1,1026780.0,1.94783692709246,uncertain temperate
QM03,6,QM03,NC173_NODE_1,1026780.0,5.84351078127739,uncertain temperate
S02,5,S02,NC173_NODE_1,1026780.0,4.86959231773116,uncertain temperate
SK08,1,SK08,NC173_NODE_1,1026780.0,0.973918463546232,uncertain temperate
SK12,1,SK12,NC173_NODE_1,1026780.0,0.973918463546232,uncertain temperate
SK14,4,SK14,NC173_NODE_1,1026780.0,3.89567385418493,uncertain temperate
SK20,5,SK20,NC173_NODE_1,1026780.0,4.86959231773116,uncertain temperate
SK43,17,SK43,NC173_NODE_1,1026780.0,16.5566138802859,uncertain temperate
